instance_id,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,music_genre
77382,Sheena Ringo,獣ゆく細道,48,0.0134,0.423,224053,0.799,4.06e-06,0.147,-4.227,0.0447,124.626,0.556,1
23554,empty_field,Fossil Roo,22,0.862,0.59,151067,0.221,0.4679999999999999,0.0736,-16.338,0.0383,129.984,0.0331,1
82886,The Beatles,Dear Prudence - 2018 Mix,62,0.0904,0.395,234973,0.5379999999999999,0.000453,0.0685,-10.3,0.0456,150.785,0.369,9
37772,Pink Floyd,Have a Cigar,64,0.407,0.4539999999999999,307733,0.65,0.0498,0.589,-10.191,0.0437,120.154,0.72,9
80191,A-Trak,Push,43,0.00145,0.642,213512,0.877,0.00279,0.0984,-2.878,0.045,126.058,0.496,5
69971,empty_field,Mess This Up,39,0.00102,0.489,187297,0.562,0,0.335,-5.02,0.0295,147.988,0.354,4
37468,Jan Johansson,Visa från Utanmyra,47,0.975,0.618,273800,0.0772,0.919,0.107,-21.306,0.0514,104.691,0.36,7
41048,Lemaitre,Closer,61,0.0012,0.583,270589,0.785,0.0127,0.124,-3.991,0.0337,91.977,0.355,0
69145,Rowlan,Hold It Down,56,0.28,0.713,199091,0.598,0,0.0735,-6.503,0.31,87.99799999999999,0.204,8
69496,Blues Saraceno,Grave Digger,47,0.22,0.58,215328,0.471,1.07e-05,0.113,-11.951,0.0322,90.996,0.349,3
61989,Lil Uzi Vert,All My Chains,54,0.119,0.794,208696,0.715,0,0.0838,-5.531,0.122,138.028,0.327,8
86828,Johann Sebastian Bach,"French Suite No. 5 in G Major, BWV 816: I. Allemande",30,0.988,0.0787,160600,0.0126,0.908,0.1119999999999999,-36.457,0.0448,34.856,0.267,3
73106,ILoveMakonnen,I Don't Sell Molly No More,50,0.00555,0.74,184490,0.497,0,0.3339999999999999,-5.309,0.152,147.026,0.067,6
53371,RayRay,Marijade,27,0.000827,0.583,192855,0.888,0.000212,0.387,-3.918,0.0425,77.027,0.267,5
43745,Trey Songz,Cake,53,0.0866,0.703,285400,0.508,0,0.239,-6.664,0.0392,140.14600000000002,0.236,6
22809,The Fumes,Tell Ya Story Walking,27,0.00193,0.371,409987,0.897,0.0119,0.3279999999999999,-5,0.0413,105.45,0.6409999999999999,2
73332,Josh Abbott Band,Wasn't That Drunk (feat. Carly Pearce),54,0.0116,0.561,223451,0.89,1.55e-06,0.171,-5.38,0.0482,114.018,0.415,4
27088,Arnold Schoenberg,"Klavierstück, Op. 33b",0,0.933,0.507,211440,0.168,0.893,0.124,-18.313,0.0556,79.613,0.285,3
25235,All Time Low,Damned If I Do Ya (Damned If I Don't),54,0.00635,0.5539999999999999,187000,0.902,0,0.3279999999999999,-4.018,0.0569,126.022,0.657,9
