instance_id,music_genre
49290,2
81619,6
31979,1
35985,6
25426,0
84260,1
68206,9
66884,1
52631,7
60674,5
87649,1
70756,7
47346,1
39287,5
87753,9
32906,6
30087,0
30505,3
55089,6
20867,3
73550,4
52239,1
51652,4
23449,6
45836,5
38131,5
82682,5
80003,2
36980,3
90243,9
80311,2
64026,7
32643,0
20391,8
86839,3
48611,2
42789,6
73885,4
58626,9
25245,2
74014,1
55223,0
34854,4
64032,4
23354,5
47834,2
89441,0
25270,2
25140,7
54141,1
60098,9
82998,4
42859,5
21126,2
68948,2
33457,5
67512,9
27719,3
24454,9
66502,9
70021,8
34471,5
38277,0
58063,0
73953,0
50166,0
77617,3
74584,6
64885,2
85100,6
60479,9
90775,6
33769,9
88648,6
38739,5
61797,1
51911,5
75608,8
61807,7
39764,7
75514,4
51575,0
30747,1
61357,3
76038,6
47576,3
27313,3
54597,5
49498,3
53264,6
81870,5
36608,7
26177,5
52494,3
61554,4
63948,2
44849,6
85687,9
54409,5
57601,9
81268,0
43054,2
80802,1
35149,7
33670,2
31239,2
30329,6
59328,5
23667,1
56553,7
56144,8
30394,3
40273,6
27821,6
28614,6
69736,2
26548,5
30210,9
42506,5
89761,5
89159,1
52758,7
37964,1
54789,4
79286,9
77111,9
60546,4
84062,8
26875,5
41147,1
26064,9
63911,6
49184,7
62538,8
78646,9
25751,9
90363,3
69138,6
65620,2
35571,6
51091,3
84217,8
41738,0
59160,6
29157,3
35272,2
76625,1
64612,9
21286,3
71406,9
69219,9
49873,7
46965,0
35483,9
32440,0
69250,2
58617,9
80195,5
56201,9
22744,5
75852,5
73344,5
32991,2
70662,6
66343,3
52637,7
76484,5
73605,6
32382,1
20253,1
60099,9
71090,8
24108,5
49121,7
56978,1
79488,0
91690,1
41512,3
68230,0
45645,6
51388,5
86780,6
53825,9
83728,7
86844,2
59343,9
74882,6
73694,3
86690,7
51059,1
56866,2
23301,7
42510,9
68626,3
22484,9
72524,1
41838,0
43664,1
68547,2
65040,2
34556,6
43494,8
70826,6
50338,6
35724,6
78528,2
24120,1
71784,3
48024,0
45354,8
51010,4
26778,1
48884,0
65489,4
55845,5
91461,4
40014,8
83180,8
63200,8
76240,4
52254,8
29070,1
26273,2
37763,2
79407,7
90761,5
71318,6
58463,7
27779,4
39530,9
91164,1
40045,2
71430,9
47398,8
39588,3
77145,9
61463,5
29528,5
27481,3
78215,5
73230,1
28658,3
87598,0
53023,1
65413,3
74735,7
25916,3
37177,5
71969,4
78240,9
69972,5
65466,6
76538,5
83591,1
33623,1
54552,2
39439,6
85239,2
82198,0
45020,7
57487,0
44101,3
61057,3
42705,3
53498,6
31627,1
74370,6
90687,2
53569,9
55680,5
70059,2
52085,3
56955,9
66764,0
52364,5
78994,2
21696,9
86434,6
77082,4
43011,7
25619,9
82190,0
53364,8
31799,1
78792,7
34017,8
25746,4
65482,4
55428,3
52020,8
90355,2
54975,6
88721,4
50843,3
64818,8
90390,9
45555,6
55525,7
65596,1
68833,2
72772,1
24028,2
87804,5
81296,7
64562,4
86961,2
78127,3
27605,9
31722,3
29841,9
26220,9
73263,5
36621,6
91726,9
43563,8
23561,8
77481,8
42357,2
30682,1
62418,3
45592,0
77968,2
65593,8
77508,5
82188,3
37457,0
68007,2
40766,3
86981,3
45479,9
21837,9
88332,4
91444,6
29174,4
78603,6
83853,7
38630,7
30115,2
32640,3
75240,3
34387,7
59565,1
44408,6
28355,0
73820,1
84531,2
22866,3
45341,0
88557,3
48177,8
86614,9
38279,9
26131,8
82181,5
66153,1
26197,5
47531,9
58495,0
51240,5
47267,6
34061,8
70030,1
74391,0
74182,6
77335,1
79766,5
74440,9
75706,4
80544,6
81533,2
37124,1
78129,2
63772,2
32877,9
33259,4
54980,0
53474,6
40918,1
44050,0
47383,5
76150,9
26344,2
47557,6
42743,7
78497,0
51896,3
91429,1
39922,6
31106,1
76400,0
84540,0
25357,3
24879,5
43849,8
85496,0
52814,6
43372,4
68601,5
37079,6
55697,8
39007,1
45556,2
74222,9
53911,8
40352,0
22424,0
83902,3
89840,5
60859,2
32391,3
39461,7
49950,3
55379,0
45648,6
89702,5
82544,3
61302,1
90980,9
20252,1
63570,3
80398,7
84325,4
24634,1
35137,3
85069,0
67853,3
22446,9
46089,1
39420,1
49856,9
85465,3
47293,7
83874,1
26601,0
64427,5
36322,6
89841,6
51809,2
48696,7
49063,1
60064,3
75363,7
62182,5
21965,3
21959,8
83738,9
26428,7
68456,3
42435,0
85847,9
35487,7
28535,7
49502,7
80852,4
27730,5
50329,1
35024,5
43610,7
68819,2
61937,0
89138,9
30148,4
63609,2
41505,4
81397,4
62181,9
37149,8
40136,3
63205,6
56845,0
71389,0
85258,6
90394,4
53793,2
29683,6
47596,6
34302,9
26657,7
31026,4
86913,8
46883,1
34985,0
26858,3
71721,3
45932,9
90410,7
43824,9
42057,9
56636,6
35136,5
36642,4
85637,0
28021,6
67565,9
54112,6
69236,8
23202,3
70288,5
86366,9
31520,9
61269,5
41472,2
71861,5
88987,1
69513,3
86361,1
88639,1
83712,6
65690,6
85589,2
64506,1
31302,2
73946,4
34391,9
23096,9
60864,2
39535,6
87766,6
67914,7
36252,8
26662,5
72497,0
55231,7
73762,6
33060,1
52469,4
28840,6
89100,0
61419,3
52556,6
89000,1
67475,9
33501,4
67547,2
75488,1
65660,0
42356,7
54632,6
64510,4
21000,3
38366,8
60468,6
32369,3
30763,6
48295,6
84910,3
31970,8
51492,6
82136,6
25116,5
49279,4
65188,7
84023,6
46904,1
56045,2
27493,1
32722,8
72584,0
83367,2
33905,1
51145,0
30540,1
32923,2
52484,5
80182,2
41899,8
83609,7
57771,6
73858,0
66645,8
28074,1
50420,9
49718,2
32683,7
41826,9
48168,0
50882,4
64503,0
30670,9
38227,6
57087,1
62424,7
25016,4
47295,8
77022,2
64345,1
90374,2
54208,9
21340,7
65652,3
79725,9
84456,2
37029,4
32892,0
23813,0
53938,8
83353,6
50187,8
52181,9
50564,6
59463,2
66542,5
68316,4
79221,8
44777,1
67029,2
43447,4
58134,6
28771,7
83433,5
71786,4
69979,5
68725,5
58718,9
41979,5
31593,4
86016,9
47280,2
36686,3
62508,2
35054,9
87716,2
70644,9
43591,6
40608,4
47603,2
32290,7
77289,9
32706,1
30136,0
87496,7
88857,9
30985,6
65915,0
90365,6
29019,4
26149,6
62071,3
61296,7
48967,2
50797,7
59968,8
70336,7
22033,3
52065,6
69560,1
81849,8
36555,2
56515,0
20527,7
24871,4
90474,2
79075,0
71368,4
22791,7
64378,9
65476,4
72068,3
25429,3
68676,8
91747,6
89499,1
41062,0
36561,2
66122,1
76693,3
27625,9
62260,2
25021,0
53643,2
20450,7
29368,6
67671,6
67092,1
80618,0
22097,2
91462,9
24923,9
86000,1
70069,0
71107,2
30757,7
56400,7
59615,4
75874,0
51746,9
27696,2
34810,3
23788,8
64521,8
24767,3
29242,5
58366,3
77924,2
29377,3
28806,0
90764,9
76107,1
89786,0
84470,8
34904,8
57319,6
46660,6
62500,4
47649,2
83477,0
69177,6
71225,3
55391,7
22807,4
36605,6
85570,2
77339,0
41464,9
70225,1
24263,4
83340,5
76503,5
65146,9
26932,6
54718,6
37759,0
42332,6
82318,3
38336,7
71301,5
62648,5
63618,3
91741,3
52534,8
80052,6
67741,4
26702,0
42494,5
39861,1
89201,3
70085,8
82628,2
23920,6
63159,8
78345,8
32316,5
79441,9
35805,4
86451,4
29292,1
67331,8
63180,2
74986,7
71794,4
20494,9
28770,4
29671,3
21624,3
41912,5
79727,6
45337,0
47836,3
76253,2
82195,9
39908,2
76291,7
46703,3
90996,8
91525,3
72334,3
24554,1
87065,0
31905,0
54151,2
62519,1
61135,9
58821,3
72073,2
79708,0
30773,8
25087,8
34304,0
27542,2
21806,6
76139,3
54124,5
32141,4
91691,9
87853,0
78713,5
81074,7
23766,0
31474,1
31289,2
66665,7
70427,4
80870,3
44839,6
58486,9
51625,1
30198,7
37067,1
86214,8
24274,2
81382,3
38029,5
88763,3
37863,9
45377,7
43685,2
75313,1
46539,3
37690,6
32225,3
55325,4
59014,3
24130,7
61691,9
44257,9
79088,0
83677,9
40065,0
69025,4
41685,3
34808,4
87340,8
26406,5
51725,7
47210,4
82487,1
45455,3
47751,1
53104,5
71838,9
54884,4
55961,1
28232,2
49055,6
50977,5
48768,5
26833,8
58973,6
84133,2
63091,7
80379,4
38316,8
71529,1
32758,1
63312,1
29438,9
71309,9
53604,6
25567,0
35244,0
45707,9
53711,9
48325,9
59663,6
45034,2
39967,4
84128,5
29402,2
61801,0
49666,2
44636,9
45113,9
37629,8
34604,7
88736,1
32926,9
52023,5
39173,0
57304,3
53760,9
77861,5
25633,0
70496,0
83516,8
32086,6
64294,5
44027,9
26779,9
34966,6
55051,8
39233,0
83890,0
31982,3
21727,0
41501,0
45300,8
33127,8
33439,2
38598,7
61194,8
47465,5
42960,2
64683,1
35966,7
50197,7
38228,7
68298,3
38022,8
39409,2
79803,4
34943,5
32082,0
27870,3
47780,0
88273,1
79043,6
77723,0
40147,7
22971,7
54798,1
41800,1
26793,3
57247,3
49012,2
22396,6
37419,2
29357,7
69131,8
86199,1
60718,6
82490,1
72554,2
33965,6
84113,1
66326,3
87921,1
34686,9
46663,4
37637,2
66800,0
51603,2
68854,4
47912,6
30530,1
80561,8
51580,9
49671,8
